username,item
katie587,197933668
katie587,641272390
katie587,13220840
katie587,912175405
katie587,341696003
katie587,185547675
katie587,827159720
katie587,776373858
katie587,156205756
katie587,260738111
katie587,931601501
katie587,29899867
katie587,1142614
katie587,30022824
katie587,772293574
katie587,192911063
katie587,264735838
katie587,698073331
katie587,318041371
katie587,131364630
katie587,611066278
katie587,342151924
katie587,308932602
katie587,135962395
katie587,105063188
katie587,65747321
katie587,143471143
katie587,691136757
katie587,122336801
coolcat53,641149739
coolcat53,680833254
coolcat53,924982523
coolcat53,360254985
coolcat53,618868285
coolcat53,660194327
coolcat53,228362552
coolcat53,392701574
coolcat53,374213819
coolcat53,400610349
coolcat53,446813078
coolcat53,530649681
coolcat53,906547203
coolcat53,3391573
coolcat53,589556275
coolcat53,576883226
coolcat53,520799129
coolcat53,864115122
coolcat53,207483506
coolcat53,471720969
coolcat53,313183872
coolcat53,671683783
coolcat53,674073781
coolcat53,786099268
coolcat53,890861998
coolcat53,902652557
coolcat53,527546241
coolcat53,297595974
coolcat53,766600818
lakes,871476604
lakes,810856912
lakes,68516353
lakes,534672659
lakes,512129545
lakes,306748330
lakes,188571822
lakes,486639527
lakes,914561382
lakes,977784846
lakes,618048186
lakes,841222322
lakes,624140149
lakes,424821994
lakes,826703550
lakes,440744687
lakes,165787827
lakes,763048516
lakes,831132842
lakes,216757285
lakes,103527170
lakes,906216461
lakes,855448528
lakes,273855112
lakes,210614166
lakes,36385050
lakes,487813950
laura,168649821
laura,742184638
laura,980937320
laura,147380524
laura,654906749
laura,721562848
laura,735141185
laura,368015956
laura,761627202
laura,189835404
laura,890680315
laura,133142140
laura,876766712
laura,767912926
laura,743770287
laura,95492025
laura,515163034
laura,551267519
laura,67942347
laura,706809550
laura,404574880
laura,228563793
laura,712729037
laura,187187938
LeaAnderson,667550791
LeaAnderson,182179438
LeaAnderson,430133201
LeaAnderson,291088289
LeaAnderson,109358214
LeaAnderson,47681416
LeaAnderson,266077399
LeaAnderson,962031403
jjohnson,356663511
jjohnson,995845826
jjohnson,621409760
jjohnson,722074087
jjohnson,834421629
flyingpigs43,727124873
flyingpigs43,360864476
flyingpigs43,680833254
flyingpigs43,185718233
flyingpigs43,231721554
flyingpigs43,537676449
flyingpigs43,803202587
flyingpigs43,476563512
flyingpigs43,441588705
flyingpigs43,457634256
flyingpigs43,815339560
flyingpigs43,955503395
flyingpigs43,212807173
flyingpigs43,48431568
flyingpigs43,919410578
flyingpigs43,565207121
flyingpigs43,361079600
flyingpigs43,146902057
flyingpigs43,189561259
flyingpigs43,330708881
flyingpigs43,119579158
flyingpigs43,823373981
flyingpigs43,426851212
ilovecats,535547190
ilovecats,383591801
amy67,408329659
roger23,405105021
roger23,659625070
roger23,356959148
roger23,271792976
roger23,930271939
roger23,868728792
roger23,685603994
roger23,141594655
roger23,971377978
roger23,460566391
roger23,517831127
roger23,36742398
roger23,41667611
roger23,286833294
roger23,423674253
roger23,12356316
roger23,609818254
roger23,630961211
roger23,314942291
roger23,430521771
roger23,802225187
roger23,657987194
roger23,736458876
roger23,438129276
roger23,582601488
roger23,525381146
roger23,202653160
roger23,960056673
roger23,917533915
roger23,983120643
